,duration,Text,InteractionType,ID,time,segment,InteractionType1
142,5,Armsdealing 69,Reading,Armsdealing 69,614.5,2,6
143,52,Armsdealing 69,Reading,Armsdealing 69,615.0,2,6
144,43,Armsdealing 69,Reading,Armsdealing 69,621.5,2,6
145,6,Armsdealing 72,Reading,Armsdealing 72,625.9,2,6
146,78,Armsdealing 69,Reading,Armsdealing 69,626.8,2,6
147,10, Leonid Minsky,Highlight,Armsdealing 69,636.4,2,0
148,81,Armsdealing 69,Reading,Armsdealing 69,636.5,2,6
149,10,gun shipments to Yemen,Highlight,Armsdealing 69,646.2,2,0
150,5,Armsdealing 69,Reading,Armsdealing 69,646.3,2,6
151,5,Armsdealing 72,Reading,Armsdealing 72,646.5,2,6
152,5,Armsdealing 72,Reading,Armsdealing 72,651.1,2,6
153,5,Armsdealing 65,Reading,Armsdealing 65,651.3,2,6
154,5,Armsdealing 65,Reading,Armsdealing 65,652.8,2,6
155,6,Armsdealing 72,Mouse_hover,Armsdealing 72,654.2,2,1
156,20,Armsdealing 72,Draging,Armsdealing 72,654.9,2,4
157,11,Armsdealing 69,Reading,Armsdealing 69,659.6,2,6
158,6,Armsdealing 39,Mouse_hover,Armsdealing 39,661.0,2,1
159,8,Armsdealing 35,Mouse_hover,Armsdealing 35,661.7,2,1
160,48,Armsdealing 56,Mouse_hover,Armsdealing 56,662.6,2,1
161,10,Nigeria,Highlight,Armsdealing 69,674.5,2,0
162,0, Finding information about Nigeria) (type 3)[top-down],Topic_change,top-down,680.2,2,3
163,10,Nigeria,Search,0,690.1,2,2
164,5,Armsdealing 69,Reading,Armsdealing 69,693.1,2,6
165,6,Armsdealing 81,Mouse_hover,Armsdealing 81,698.2,2,1
166,12,Armsdealing 79,Mouse_hover,Armsdealing 79,699.0,2,1
168,5,Armsdealing 69,Reading,Armsdealing 69,703.5,2,6
169,6,Armsdealing 79,Mouse_hover,Armsdealing 79,704.6,2,1
170,20,Armsdealing 81,Mouse_hover,Armsdealing 81,705.7,2,1
171,50,Armsdealing 80,Mouse_hover,Armsdealing 80,707.7,2,1
172,18,Armsdealing 79,Mouse_hover,Armsdealing 79,715.3,2,1
173,42,Armsdealing 79,Doc_open,Armsdealing 79,717.2,2,5
174,18,Armsdealing 79,Mouse_hover,Armsdealing 79,722.7,3,1
176,11,Armsdealing 85,Mouse_hover,Armsdealing 85,724.9,3,1
177,55,Armsdealing 84,Mouse_hover,Armsdealing 84,726.0,3,1
178,9,Armsdealing 85,Mouse_hover,Armsdealing 85,732.3,3,1
179,11,Armsdealing 84,Mouse_hover,Armsdealing 84,733.2,3,1
180,1142,Armsdealing 84,Doc_open,Armsdealing 84,734.4,3,5
181,32,Armsdealing 84,Reading,Armsdealing 84,734.5,4,6
182,394,Armsdealing 84,Reading,Armsdealing 84,739.6,4,6
184,10, THE ENTIRE FUNDS TRANSFER WOULD STILL BE IN ITS FETUS STAGE.,Highlight,Armsdealing 84,780.4,4,0
185,187,Armsdealing 84,Reading,Armsdealing 84,780.6,4,6
187,122,Armsdealing 84,Reading,Armsdealing 84,799.4,4,6
190,11,Armsdealing 85,Mouse_hover,Armsdealing 85,849.5,4,1
191,6,Armsdealing 84,Mouse_hover,Armsdealing 84,850.6,4,1
193,1500,Armsdealing 85,Doc_open,Armsdealing 85,852.5,4,5
194,415,Armsdealing 85,Reading,Armsdealing 85,852.6,4,6
196,367,Armsdealing 85,Reading,Armsdealing 85,894.5,4,6
198,5,Armsdealing 69,Reading,Armsdealing 69,931.2,4,6
199,27,Armsdealing 69,Reading,Armsdealing 69,953.9,4,6
200,10,Note,Create Note,0,960.9,4,7
202,10,Oil from Nigeria - Arms?,Add note,0,963.2,4,8
203,5,Armsdealing 69,Reading,Armsdealing 69,964.1,4,6
204,8,Armsdealing 85,Reading,Armsdealing 85,964.2,4,6
205,5,Armsdealing 69,Reading,Armsdealing 69,965.1,4,6
206,22,Armsdealing 85,Reading,Armsdealing 85,998.7,4,6
207,16,Armsdealing 85,Draging,Armsdealing 85,999.5,4,4
208,19,Armsdealing 85,Draging,Armsdealing 85,1003.6,4,4
209,5,Armsdealing 69,Reading,Armsdealing 69,1006.2,4,6
210,9,Armsdealing 69,Reading,Armsdealing 69,1006.9,4,6
211,6,Armsdealing 79,Mouse_hover,Armsdealing 79,1008.7,4,1
212,61,Armsdealing 81,Mouse_hover,Armsdealing 81,1009.4,4,1
213,9,Armsdealing 82,Mouse_hover,Armsdealing 82,1015.5,4,1
214,7,Armsdealing 81,Mouse_hover,Armsdealing 81,1018.2,4,1
215,345,Armsdealing 81,Doc_open,Armsdealing 81,1019.0,4,5
216,5,Armsdealing 81,Reading,Armsdealing 81,1019.1,4,6
218,100,Armsdealing 81,Draging,Armsdealing 81,1054.3,4,4
219,5,Armsdealing 69,Reading,Armsdealing 69,1064.9,4,6
220,12,Armsdealing 81,Draging,Armsdealing 81,1069.0,4,4
221,8,Armsdealing 85,Draging,Armsdealing 85,1071.4,4,4
